"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","celltype","direction"
"GO:0006941","striated muscle contraction",82,0.643087253164615,2.74876320011779,1e-10,2.36125e-08,2.14530696650009e-08,1221,"tags=61%, list=15%, signal=53%","RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/AKAP9/RPL29/RPL24/RPL17/RPL19/GRK2/RPL12/GNAS/RPL21/RPL10A/RPL7A/EEF2/RPLP2/PRKACA/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/BIN1/RANGRF/RPL8/RPL35/RPL13/RPL15/GSTM2/KCNQ1/UBA52/RPL14/RPL41/CHRNB1/C12orf57/GSTO1/RPL38/CALM3",NA,"IFN_activated_DC","HL"
"GO:0051146","striated muscle cell differentiation",97,0.610616744023995,2.69657363650543,1e-10,2.36125e-08,2.14530696650009e-08,1200,"tags=52%, list=14%, signal=45%","RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/NACA/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/YY1/CD81/OBSCN/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/MTLN/FLII/KDM6B/RPL8/RPL35/RPL13/PLEKHO1/CSRP1/RPL15/CASP7/UBA52/RPL14/RPL41/WDR1/TOMM70/NOTCH1/RPL38",NA,"IFN_activated_DC","HL"
"GO:0042692","muscle cell differentiation",134,0.554299315074532,2.5635511957469,1e-10,2.36125e-08,2.14530696650009e-08,1200,"tags=44%, list=14%, signal=38%","RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/OLFM2/RPL4/RPL18A/NACA/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/YY1/SRF/CD81/TMEM204/OBSCN/RPL21/RPL10A/RPL7A/RPLP2/ACTN1/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/BIN1/MTLN/FLII/CDK9/KDM6B/RPL8/RPL35/KDM1A/RPL13/PLEKHO1/CSRP1/RPL15/CASP7/UBA52/QKI/RPL14/RPL41/CHRNB1/WDR1/TOMM70/NOTCH1/RPL38",NA,"IFN_activated_DC","HL"
"GO:0006936","muscle contraction",112,0.553641586928481,2.51033578111937,1e-10,2.36125e-08,2.14530696650009e-08,1221,"tags=48%, list=15%, signal=42%","RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/AKAP9/RPL29/PABPN1/RPL24/RPL17/RPL19/GRK2/RPL12/GNAS/SRF/RPL21/RPL10A/RPL7A/EEF2/RPLP2/APBB1/PRKACA/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/BIN1/RANGRF/RPL8/MAP2K1/RPL35/RPL13/RPL15/GSTM2/KCNQ1/UBA52/RPL14/RPL41/CHRNB1/C12orf57/GSTO1/RPL38/CALM3",NA,"IFN_activated_DC","HL"
"GO:0003012","muscle system process",146,0.498938537138071,2.37053170283385,1e-10,2.36125e-08,2.14530696650009e-08,1221,"tags=41%, list=15%, signal=36%","RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/FOXO1/RPL4/RPL18A/RPL36A/RPL34/AKAP9/RPL29/PABPN1/RPL24/RPL17/RPL19/GRK2/RPL12/YY1/GNAS/SRF/RPL21/RPL10A/RPL7A/EEF2/RPLP2/APBB1/PRKACA/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/BIN1/RANGRF/RPL8/MAP2K1/RPL35/RPL13/RPL15/GSTM2/KCNQ1/TNFRSF1A/UBA52/RPL14/RPL41/CHRNB1/TOMM70/ARRB1/C12orf57/GSTO1/NOTCH1/RPL38/CALM3",NA,"IFN_activated_DC","HL"
"GO:0034242","negative regulation of syncytium formation by plasma membrane fusion",45,0.774564960465634,2.9802598383081,1e-10,2.47714285714286e-08,1.77235695122861e-08,1094,"tags=82%, list=17%, signal=69%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/RPL9/RPL23/RPL32/RPL17/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52/RPL29/RPL13/RPL13A/RPL23A",NA,"Cytotoxic_NK_gamma_delta_T","HL"
"GO:1901740","negative regulation of myoblast fusion",45,0.774564960465634,2.9802598383081,1e-10,2.47714285714286e-08,1.77235695122861e-08,1094,"tags=82%, list=17%, signal=69%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/RPL9/RPL23/RPL32/RPL17/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52/RPL29/RPL13/RPL13A/RPL23A",NA,"Cytotoxic_NK_gamma_delta_T","HL"
"GO:1901739","regulation of myoblast fusion",51,0.71844890705653,2.88711308240891,1e-10,2.47714285714286e-08,1.77235695122861e-08,1094,"tags=73%, list=17%, signal=61%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/RPL9/RPL23/RPL32/RPL17/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52/RPL29/RPL13/RPL13A/RPL23A",NA,"Cytotoxic_NK_gamma_delta_T","HL"
"GO:0007520","myoblast fusion",54,0.711952721592996,2.83653756805046,1e-10,2.47714285714286e-08,1.77235695122861e-08,783,"tags=63%, list=12%, signal=56%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/CD81/RPL9/RPL23/RPL32/RPL17/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52",NA,"Cytotoxic_NK_gamma_delta_T","HL"
"GO:0000768","syncytium formation by plasma membrane fusion",56,0.702437889995216,2.82481390454473,1e-10,2.47714285714286e-08,1.77235695122861e-08,783,"tags=61%, list=12%, signal=54%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/CD81/RPL9/RPL23/RPL32/RPL17/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52",NA,"Cytotoxic_NK_gamma_delta_T","HL"
